"","name","category_code","code_type","raised_amount","funded_year","number_investors","id","investor_type","investor_name"
"1","Wetpaint","web","a",5250000,"2005",2,"0","financial_org","frazier-technology-ventures"
"2","Wetpaint","web","a",5250000,"2005",2,"1","financial_org","trinity-ventures"
"3","Wetpaint","web","b",9500000,"2007",3,"0","financial_org","accel-partners"
"4","Wetpaint","web","b",9500000,"2007",3,"1","financial_org","frazier-technology-ventures"
"5","Wetpaint","web","b",9500000,"2007",3,"2","financial_org","trinity-ventures"
"6","Wetpaint","web","c",2.5e+07,"2008",4,"0","financial_org","dag-ventures"
"7","Wetpaint","web","c",2.5e+07,"2008",4,"1","financial_org","accel-partners"
"8","Wetpaint","web","c",2.5e+07,"2008",4,"2","financial_org","trinity-ventures"
"9","Wetpaint","web","c",2.5e+07,"2008",4,"3","financial_org","frazier-technology-ventures"
"10","Digg","web","b",8500000,"2006",2,"0","financial_org","greylock"
"11","Digg","web","b",8500000,"2006",2,"1","financial_org","omidyar-network"
"12","Digg","web","a",2800000,"2005",7,"0","financial_org","greylock"
"13","Digg","web","a",2800000,"2005",7,"1","financial_org","omidyar-network"
"14","Digg","web","a",2800000,"2005",7,"2","person","marc-andreessen"
"15","Digg","web","a",2800000,"2005",7,"3","person","reid-hoffman"
"16","Digg","web","a",2800000,"2005",7,"4","person","ron-conway"
"17","Digg","web","a",2800000,"2005",7,"5","person","al-avery"
"18","Digg","web","a",2800000,"2005",7,"6","financial_org","floodgate"
"19","Digg","web","c",28700000,"2008",4,"0","financial_org","highland-capital-partners"
"20","Digg","web","c",28700000,"2008",4,"1","financial_org","greylock"
"21","Digg","web","c",28700000,"2008",4,"2","financial_org","omidyar-network"
"22","Digg","web","c",28700000,"2008",4,"3","financial_org","svb-financial-group"
"23","Digg","web","d",5e+06,"2011",0,"NA","NA","NA"
"24","Facebook","web","angel",5e+05,"2004",2,"0","person","peter-thiel"
"25","Facebook","web","angel",5e+05,"2004",2,"1","person","reid-hoffman"
"26","Facebook","web","a",12700000,"2005",3,"0","financial_org","accel-partners"
"27","Facebook","web","a",12700000,"2005",3,"1","person","mark-pincus"
"28","Facebook","web","a",12700000,"2005",3,"2","person","reid-hoffman"
"29","Facebook","web","b",27500000,"2006",3,"0","financial_org","greylock"
"30","Facebook","web","b",27500000,"2006",3,"1","financial_org","meritech-capital-partners"
"31","Facebook","web","b",27500000,"2006",3,"2","financial_org","founders-fund"
"32","Facebook","web","c",2.4e+08,"2007",1,"0","company","microsoft"
"33","Facebook","web","c",6e+07,"2007",1,"0","person","li-ka-shing"
"34","Facebook","web","c",1.5e+07,"2008",1,"0","financial_org","european-founders-fund"
"35","Facebook","web","c",6e+07,"2008",1,"0","person","li-ka-shing"
"36","Facebook","web","debt_round",1e+08,"2008",1,"0","financial_org","triplepoint-capital"
"37","Facebook","web","d",2e+08,"2009",1,"0","financial_org","digital-sky-technologies-fo"
"38","Facebook","web","unattributed",1.2e+08,"2010",1,"0","financial_org","elevation-partners"
"39","Facebook","web","unattributed",1.5e+09,"2011",2,"0","financial_org","goldman-sachs"
"40","Facebook","web","unattributed",1.5e+09,"2011",2,"1","financial_org","digital-sky-technologies-fo"
"41","Photobucket, Inc.","web","b",10500000,"2006",2,"0","financial_org","trinity-ventures"
"42","Photobucket, Inc.","web","b",10500000,"2006",2,"1","person","chris-sacca"
"43","Photobucket, Inc.","web","a",3e+06,"2005",1,"0","financial_org","insight-venture-partners"
"44","Omnidrive","network_hosting","angel",8e+05,"2006",4,"0","person","michael-arrington"
"45","Omnidrive","network_hosting","angel",8e+05,"2006",4,"1","person","jeff-clavier"
"46","Omnidrive","network_hosting","angel",8e+05,"2006",4,"2","person","aydin-senkut"
"47","Omnidrive","network_hosting","angel",8e+05,"2006",4,"3","person","georges-harik"
"48","Geni","web","a",1500000,"2007",1,"0","financial_org","founders-fund"
"49","Geni","web","b",1e+07,"2007",1,"0","financial_org","charles-river-ventures"
"50","Geni","web","c",5e+06,"2009",2,"0","financial_org","charles-river-ventures"
"51","Geni","web","c",5e+06,"2009",2,"1","financial_org","founders-fund"
"52","Gizmoz","web","a",6300000,"2007",2,"0","financial_org","benchmark-capital"
"53","Gizmoz","web","a",6300000,"2007",2,"1","financial_org","columbia-capital"
"54","Gizmoz","web","b",6500000,"2008",4,"0","financial_org","ngi-capital"
"55","Gizmoz","web","b",6500000,"2008",4,"1","financial_org","benchmark-capital"
"56","Gizmoz","web","b",6500000,"2008",4,"2","financial_org","columbia-capital"
"57","Gizmoz","web","b",6500000,"2008",4,"3","financial_org","docomo-capital"
"58","Gizmoz","web","c",5300000,"2009",2,"0","financial_org","benchmark-capital"
"59","Gizmoz","web","c",5300000,"2009",2,"1","financial_org","highway-12-ventures"
"60","Wis.dm","network_hosting","a",5e+06,"2007",1,"0","financial_org","north-bridge-venture-partners"
"61","Twitter","web","a",5e+06,"2007",9,"0","financial_org","charles-river-ventures"
"62","Twitter","web","a",5e+06,"2007",9,"1","financial_org","union-square-ventures"
"63","Twitter","web","a",5e+06,"2007",9,"2","person","marc-andreessen"
"64","Twitter","web","a",5e+06,"2007",9,"3","person","dick-costolo"
"65","Twitter","web","a",5e+06,"2007",9,"4","person","naval-ravikant"
"66","Twitter","web","a",5e+06,"2007",9,"5","person","ron-conway"
"67","Twitter","web","a",5e+06,"2007",9,"6","person","chris-sacca"
"68","Twitter","web","a",5e+06,"2007",9,"7","person","greg-yaitanes"
"69","Twitter","web","a",5e+06,"2007",9,"8","person","brian-pokorny"
"70","Twitter","web","b",1.5e+07,"2008",6,"0","financial_org","union-square-ventures"
